CO2 emissions (kg per 2005 PPP $ of GDP),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.023013302,0.032661335,0.036038515,0.031306458,0.028009154,0.025866747,0.028479977,,,
Albania,,,,,,,,,,,,,,,,,,,,,0.456299372,0.612678133,0.592454735,0.611853696,0.635389217,0.628661184,0.608405637,0.566623153,0.565724677,0.631580692,0.582147525,0.438495608,0.284033656,0.254377748,0.193346159,0.184600197,0.163552743,0.139412239,0.140450338,0.217769839,0.205441367,0.204785867,0.231091691,0.250045804,0.220374017,0.240065093,0.210233442,0.210218647,0.181931564,,,
Algeria,,,,,,,,,,,,,,,,,,,,,0.556157426,0.37695903,0.299592214,0.380910676,0.487365616,0.48110178,0.502167763,0.557710434,0.562189712,0.51346816,0.502065632,0.524673305,0.520477272,0.5330163,0.563134432,0.594932122,0.582809781,0.526492251,0.608210395,0.507006274,0.473539901,0.442446197,0.455473026,0.433950164,0.398948505,0.454387465,0.446209848,0.45516873,0.43883331,,,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,0.16206435,0.156297454,0.180754072,0.150986704,0.146837836,0.130244398,0.129971142,0.141244823,0.246261769,0.159575256,0.409106543,0.350504957,0.228559163,0.211871013,0.257119866,0.260097539,0.257213917,0.292379043,0.202552334,0.377698289,0.31919739,0.312923014,0.288085886,0.245289667,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,0.277777156,0.198448171,0.54652888,0.150104577,0.237852235,0.374430623,0.332179329,0.338410789,0.333846712,0.315625994,0.323576589,0.309384059,0.306781984,0.305646429,0.290879324,0.314272248,0.294429023,0.293473499,0.278028967,0.278760608,0.271801924,0.265920712,0.273172806,0.278371904,0.2723463,0.263753957,0.241155525,0.223570947,0.227551063,,,
Argentina,,,,,,,,,,,,,,,,,,,,,0.383645724,0.381740461,0.407092584,0.398686706,0.394912786,0.403560569,0.38754333,0.415357636,0.450476202,0.469413691,0.46256056,0.426614517,0.39552188,0.364733889,0.358397431,0.366491539,0.366200926,0.353039719,0.347513281,0.380106501,0.371512383,0.386980373,0.406268939,0.404365253,0.403837967,0.379249613,0.386178946,0.372025789,0.364881582,,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.687933047,0.600294543,0.576667552,0.634799013,0.447831718,0.544996649,0.527803548,0.458693219,0.490785946,0.457929609,0.343013834,0.343383251,0.330459326,0.346276767,0.30796703,0.312691305,0.320931807,,,
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,,,,,,,,,,,,,,,,,,,,,0.759984682,0.766950356,0.755090983,0.742925337,0.746854234,0.724323677,0.68915771,0.717203012,0.690750353,0.706878201,0.705969617,0.693375178,0.721932759,0.711636688,0.688659591,0.670132572,0.688902087,0.671362674,0.667496751,0.595608371,0.58015218,0.560195024,0.566595123,0.556803966,0.538825377,0.55056823,0.548631906,0.534568764,0.539721863,,,
Austria,,,,,,,,,,,,,,,,,,,,,0.330016019,0.354658507,0.333862505,0.312940182,0.328193787,0.321208562,0.31037917,0.327000941,0.293636737,0.28717159,0.310529817,0.324792797,0.292855,0.280592187,0.271560308,0.278101702,0.273344271,0.268507293,0.267943964,0.25148309,0.242715673,0.24785046,0.249396303,0.274587295,0.26692323,0.26885645,0.25146382,0.231320959,0.224549173,,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.688724228,2.151883405,2.623956798,2.357509569,2.187248957,1.962630981,1.881149438,1.624277038,1.52420811,1.336623025,1.23185332,1.150425201,1.080796733,0.914151057,0.774758786,0.665560529,0.670413583,,,
Bahamas,,,,,,,,,,,,,,,,,,,,,1.456756874,0.562682839,0.425888133,0.366459235,0.295295698,0.229362086,0.210547536,0.206038897,0.217996707,0.25823763,0.262920824,0.250669526,0.262249438,0.250217008,0.243096746,0.23438845,0.224890146,0.221746586,0.218000345,0.203880655,0.195758166,0.190749788,0.21529121,0.195783409,0.208530113,0.211619312,0.209295888,0.207373183,0.210895989,,,
Bahrain,,,,,,,,,,,,,,,,,,,,,1.042403267,1.189994372,1.485473525,1.167943676,1.244633219,1.446812268,1.544596998,1.452216911,1.444296658,1.388732579,1.34633596,1.171566641,1.010941364,1.280545773,1.293393442,1.307008686,1.22409059,1.316414724,1.334971921,1.253157841,1.231254473,0.879357669,0.941656389,0.921500338,0.915380444,0.914036157,0.929956574,0.913410252,0.899173966,,,
Bangladesh,,,,,,,,,,,,,,,,,,,,,0.139980771,0.140032846,0.148291448,0.136547105,0.143809368,0.156285606,0.16791056,0.167513366,0.187238252,0.181236538,0.197509809,0.196135682,0.207903214,0.194988857,0.20414847,0.234020802,0.235581802,0.233158244,0.212530772,0.212709238,0.221724046,0.245261491,0.243941718,0.232617842,0.257146128,0.229971192,0.267176328,0.252579276,0.235810637,,,
Barbados,,,,,,,,,,,,,,,,,,,,,0.181538809,0.190610836,0.188858563,0.200302132,0.211404746,0.238171873,0.235546997,0.239695675,0.226473735,0.225637059,0.257222125,0.297489255,0.254077446,0.286455302,0.184878023,0.201808631,0.203435347,0.20274653,0.246193401,0.254632412,0.244353822,0.264509881,0.275879748,0.279329574,0.274850187,0.278446597,0.272888909,0.267234481,0.267479199,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.494180073,1.37612267,1.379765019,1.451247978,1.36713481,1.214213882,1.083961551,1.015948779,0.919817647,0.863978207,0.819270549,0.784810617,0.763161791,0.70716597,0.672996064,0.603886322,0.571018845,,,
Belgium,,,,,,,,,,,,,,,,,,,,,0.659964746,0.606636579,0.571629155,0.492632236,0.498712679,0.486103298,0.470177448,0.460690627,0.428132612,0.44307974,0.433632822,0.461586206,0.442235202,0.425256003,0.428535451,0.417334827,0.435687201,0.408309672,0.410536135,0.385387429,0.371321987,0.365335,0.337711993,0.35776669,0.335720718,0.317652931,0.308427565,0.287706768,0.29151339,,,
Belize,,,,,,,,,,,,,,,,,,,,,0.390798516,0.370979815,0.349711248,0.357234664,0.350374526,0.383556422,0.394992813,0.393211681,0.394794882,0.420967941,0.394445291,0.411569574,0.363607025,0.363295689,0.359201232,0.360401941,0.289779879,0.353154628,0.324362149,0.48417473,0.491008157,0.482747975,0.23203167,0.220910495,0.215294312,0.217004004,0.213115526,0.219769615,0.212158506,,,
Benin,,,,,,,,,,,,,,,,,,,,,0.126274091,0.095294767,0.109145008,0.104944334,0.108037606,0.145684047,0.132754582,0.104825956,0.105511636,0.124228937,0.134117095,0.148428715,0.155966536,0.188482679,0.201625827,0.202248942,0.182620375,0.165560265,0.157892107,0.194091647,0.189911021,0.194401952,0.219782959,0.239108025,0.23961253,0.249238106,0.347845698,0.345955044,0.345034744,,,
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,0.061769609,0.073402632,0.060787053,0.098848881,0.115028183,0.094017304,0.145970824,0.135904159,0.072520571,0.136856261,0.190111203,0.215444936,0.180470762,0.198280595,0.21923179,0.251983873,0.311093914,0.286495609,0.268088089,0.258843333,0.250817419,0.285308514,0.238366961,0.222517398,0.297265192,0.172011324,0.20040469,0.242360308,,,
